Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
M32,4/16/2024,12:00:00 AM,4/17/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T32 - ECDT SSOC,4/17/2024,12:00:00 AM,4/18/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M33,4/18/2024,12:00:00 AM,4/19/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T33,4/19/2024,12:00:00 AM,4/20/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
Weekend,4/20/2024,12:00:00 AM,4/21/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
Weekend,4/21/2024,12:00:00 AM,4/22/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
M34,4/22/2024,12:00:00 AM,4/23/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T34,4/23/2024,12:00:00 AM,4/24/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M35,4/24/2024,12:00:00 AM,4/25/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T35,4/25/2024,12:00:00 AM,4/26/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
Supt' Day - No Classes,4/26/2024,12:00:00 AM,4/27/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Institutional,,,,Normal,FALSE,Normal,3
Weekend,4/27/2024,12:00:00 AM,4/28/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
Weekend,4/28/2024,12:00:00 AM,4/29/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
M36,4/29/2024,12:00:00 AM,4/30/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T36,4/30/2024,12:00:00 AM,5/1/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M37,5/1/2024,12:00:00 AM,5/2/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T37,5/2/2024,12:00:00 AM,5/3/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M38,5/3/2024,12:00:00 AM,5/4/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
Weekend,5/4/2024,12:00:00 AM,5/5/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
Weekend,5/5/2024,12:00:00 AM,5/6/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
T38,5/6/2024,12:00:00 AM,5/7/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M39,5/7/2024,12:00:00 AM,5/8/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T39,5/8/2024,12:00:00 AM,5/9/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
M40,5/9/2024,12:00:00 AM,5/10/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,M-Day,,,,Normal,FALSE,Normal,3
T40,5/10/2024,12:00:00 AM,5/11/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,T-Day,,,,Normal,FALSE,Normal,3
Dean's Weekend,5/11/2024,12:00:00 AM,5/12/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
Dean's Weekend,5/12/2024,12:00:00 AM,5/13/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Weekend,,,,Normal,FALSE,Normal,3
Finals 1&2&3,5/13/2024,12:00:00 AM,5/14/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Finals,,,,Normal,FALSE,Normal,3
Finals 4&5&6,5/14/2024,12:00:00 AM,5/15/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Finals,,,,Normal,FALSE,Normal,3
Finals 7&8&9,5/15/2024,12:00:00 AM,5/16/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Finals,,,,Normal,FALSE,Normal,3
Finals 10&11&12,5/16/2024,12:00:00 AM,5/17/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Finals,,,,Normal,FALSE,Normal,3
Finals 13&14,5/17/2024,12:00:00 AM,5/18/2024,12:00:00 AM,TRUE,FALSE,,,,,,,,Finals,,,,Normal,FALSE,Normal,3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
